english,pos,lang1_form,language,candidate_form,similarity,method,sentence_id,sentence_length
corn,NN,máys,lang5,màyhko,0.8333,parallel,86,7
quick,JJ,fúdurulu,lang5,fúdurulu,1.0,parallel,86,7
to grow,VB,dárimi,lang5,idàrimiqgeme,0.9565,parallel,86,7
happy,JJ,férimala,lang5,kérimàlàqgà,0.7368,parallel,86,7
to be surprised,VB,vóruza,lang5,ingàmiqgemi,0.8,parallel,86,7
corn,NN,máys,lang5,Màyh,0.75,parallel,45,6
and,CONJ,hére,lang5,hére,1.0,parallel,45,6
popcorn,NN,máyspánomu,lang5,màyhpànomu,0.9,parallel,45,6
also,CONJ,tírimi,lang5,tírimi,1.0,parallel,45,6
extraordinary,JJ,zórazalu,lang5,dngóràngàlu,0.6316,parallel,45,6
to be surprised,VB,vóruza,lang5,ingàmimi,0.8,parallel,45,6
person,NN,náruma,lang2,Nàrúmànàrúmàgùùg,0.8387,parallel,8,4
market,NN,márunu,lang2,màrúnúnú,1.0,parallel,8,4
corn,NN,máys,lang2,màyh,0.75,parallel,8,4
to find,VB,kélimi,lang2,íqgélímímí,0.9474,parallel,8,4
friend,NN,géri,lang5,ngqgérie,0.7692,parallel,63,4
corn,NN,máys,lang5,màyh,0.75,parallel,63,4
to give,VB,tórumu,lang5,udórumongumu,0.8696,parallel,63,4
this,DT,kogo,lang5,Kogo,1.0,parallel,73,4
corn,NN,máys,lang5,màyh,0.75,parallel,73,4
who,WH,lízire,lang5,língireo,0.8,parallel,73,4
clean,JJ,kázumulu,lang5,ugàngumudàrumumu,0.9032,parallel,73,4
corn,NN,máys,lang2,màyh,0.75,parallel,70,4
corn,NN,máys,lang2,Màyh,0.75,parallel,38,5
field,NN,xóronu,lang2,xórùnúnú,0.875,parallel,38,5
spring,NN,vóruma,lang2,vvórúmànú,0.9412,parallel,38,5
to be surprised,VB,vóruza,lang2,íngàmímí,0.8,parallel,38,5
new,JJ,nérili,lang7,nẽ́rílí,1.0,parallel,95,4
corn,NN,máys,lang7,mõ̀yshórúmṹ,0.8,parallel,95,4
to write,NN,nárumu,lang7,únõ̀rúmṹmṹ,0.8889,parallel,95,4
corn,NN,máys,lang3,Túúzúmãã,0.8571,parallel,14,5
water,NN,túzuma,lang3,mã̀ysnṹ,1.0,parallel,14,5
very,RB,zúra,lang3,tàzúúrãã,0.6667,parallel,14,5
important,JJ,zórumalu,lang3,tàzórúmã̀lú,0.8889,parallel,14,5
to be surprised,VB,vóruza,lang3,ízàmĩ́mĩ,1.0,parallel,14,5
home,NN,súmura,lang6,súmũralu,1.0,parallel,30,8
to go,VB,bóromu,lang6,þabóromũmũ,0.8889,parallel,30,8
corn,NN,máys,lang6,mãys,1.0,parallel,30,8
to eat,VB,zálumu,lang6,azalumũgomõ,1.0,parallel,30,8
to want,VB,vézimi,lang6,ivézimĩmĩ,1.0,parallel,30,8
hawk,NN,ħárum,lang4,tàħàrúmṹshkùùng,0.6923,parallel,3,4
dark,JJ,milineli,lang4,ímĩ́línĩ̀zìħríslí,0.8667,parallel,3,4
to chase,VB,dárumu,lang4,àdàrúmṹmṹ,1.0,parallel,3,4
eight,CARD,ú,lang4,úú,0.6667,parallel,115,7
owl,NN,pórumu,lang4,pórúmṹbórúmṹ,1.0,parallel,115,7
library,NN,pánuru,lang4,pànṹrúlí,1.0,parallel,115,7
dome,NN,spíra,lang4,spíírànṹ,0.9333,parallel,115,7
to hide,VB,púruma,lang4,ípúúrúmã,0.9333,parallel,115,7
to see,VB,vérima,lang4,àgérímã̀mĩ,0.8889,parallel,115,7
if,CONJ,héré,lang4,Héré,1.0,parallel,76,7
hummingbird,NN,píbi,lang4,pííbíbííbíqgì,0.7826,parallel,76,7
cherry,NN,sakúra,lang4,sàgúúrã,0.9231,parallel,76,7
flower,NN,kírimi,lang4,kíírímĩ́qgì,0.7778,parallel,76,7
to find,VB,kélimi,lang4,íqgélímĩ́mĩ,0.9474,parallel,76,7
student,NN,dóruma,lang4,ðdórúmã̀dórúmã̀gùùng,0.7879,parallel,76,7
scholar,NN,zúradóruma,lang2,ngúúràdórúmàgùùg,0.6897,parallel,87,9
bird,NN,túrumu,lang2,túúrúmúlú,0.9412,parallel,87,9
wing,NN,zélirilára,lang2,kélàrídàqngà,0.7,parallel,87,9
very,RB,zúra,lang2,ngúúràgà,0.5,parallel,87,9
beautiful,JJ,lúmuralu,lang2,lúúmúràgà,0.8,parallel,87,9
and,CONJ,hére,lang2,hérì,0.75,parallel,87,9
energy,NN,zérimi,lang2,ngérímílí,0.8235,parallel,87,9
to be surprised,VB,vóruza,lang2,íngàmímí,0.8,parallel,87,9
crow,NN,ħòro,lang5,tàħàrogo,0.7143,parallel,94,7
popcorn,NN,máyspánomu,lang5,màyhpànomu,0.9,parallel,94,7
to eat,VB,zálumu,lang5,ungàlumu,0.8,parallel,94,7
to want,VB,vézimi,lang5,igéngimimi,0.7368,parallel,94,7
hunter,NN,dárumodóruma,lang3,Þàdàrúmõdrúmã̀go,0.8966,parallel,101,8
tree,NN,kóramudógoru,lang3,kóràmṹdógorúghóronṹ,1.0,parallel,101,8
while,IN,hére,lang3,hére,1.0,parallel,101,8
bird,NN,túrumu,lang3,túúrúmṹlú,0.9412,parallel,101,8
song,NN,mánaru,lang3,mã̀nã̀rú,1.0,parallel,101,8
to hear,VB,bárimi,lang3,íbàrímĩ́mĩ,1.0,parallel,101,8
sister,NN,náziri,lang3,nã̀zíríge,1.0,parallel,15,8
swan,NN,éle,lang3,élelí,1.0,parallel,15,8
feather,NN,mìli,lang3,mẽlímẽlí,0.75,parallel,15,8
gutter,NN,xálo,lang3,xàlonṹ,1.0,parallel,15,8
downward,RB,márugulu,lang3,mã̀rúgúlú,1.0,parallel,15,8
to float,VB,némi,lang3,ínẽ́mĩ,1.0,parallel,15,8
to see,VB,vérima,lang3,àvérímã̀mĩ,1.0,parallel,15,8
while,IN,hére,lang6,Hére,1.0,parallel,59,8
world,NN,mógo,lang6,mṍgo,1.0,parallel,59,8
to sleep,VB,órumo,lang6,aórumõmĩ,1.0,parallel,59,8
owl,NN,pórumu,lang6,pórumũgo,1.0,parallel,59,8
star,NN,félirina,lang6,kélirinã,0.875,parallel,59,8
secret,NN,púrumunu,lang6,ubúrumĩnũ,1.0,parallel,59,8
emperor,NNP,Máguzúrazóronara,lang7,Mõ̀gúngúúròngórùnõ̀rògòòg,0.5714,parallel,79,6
musician,NN,lámorudóru,lang7,lòmũ̀rúdórúgù,0.75,parallel,79,6
gold,JJ,málalu,lang7,mõ̀lòlú,0.6667,parallel,79,6
hawk,NN,ħárum,lang7,tòħòrúmṹshlú,0.8182,parallel,79,6
poem,NN,rélama,lang7,rélèmẽ̀ngè,0.5333,parallel,79,6
to write,NN,nárumu,lang7,únõ̀rúmṹngúngúmṹ,0.7143,parallel,79,6
future,NN,nérivári,lang6,nẽ́rivarinĩ,1.0,parallel,20,7
bird,NN,túrumu,lang6,túrumũtúrumũ,1.0,parallel,20,7
hawk,NN,ħárum,lang2,ħħàrúmúshkù,0.8571,parallel,28,6
house,NN,dómuru,lang2,þàdómúrú,0.8571,parallel,28,6
to fly,VB,lózumu,lang2,úlóngúmú,0.8,parallel,28,6
to grow,VB,dárimi,lang2,ídàrímíngímí,0.8696,parallel,28,6
frankly,RB,xérali,lang3,Xéràlí,1.0,parallel,34,6
crow,NN,ħòro,lang3,tàħàroko,0.7143,parallel,34,6
teacher,NN,zúragúra,lang3,tàzúúràgúúràlú,0.8333,parallel,34,6
dictionary,NN,móluru,lang3,mṍlúrú,1.0,parallel,34,6
to hide,VB,púruma,lang3,úpúúrúmãã,0.875,parallel,34,6
who,WH,lízire,lang6,Lízire,0.9231,parallel,84,7
bright,"(ie, happy light)",férimili,lang6,kérimĩli,0.875,parallel,84,7
swan,NN,éle,lang6,élege,1.0,parallel,84,7
museum,NN,donubánu,lang6,þadonũbanũ,0.8889,parallel,84,7
dome,NN,spíra,lang6,spíranĩ,1.0,parallel,84,7
to dance,VB,názaluzo,lang6,unãzaluzo,1.0,parallel,84,7
to learn,VB,sérimi,lang6,azérimĩzizimĩ,1.0,parallel,84,7
swan,NN,éle,lang2,Pìrélìqgì,0.5882,parallel,18,6
to fly,VB,lózumu,lang2,lóngúmúdàngúmúmú,0.8,parallel,18,6
storm,NN,fázuma,lang2,fàngúmúgù,0.7059,parallel,18,6
to rise,VB,vóvuma,lang2,úvóvúmàmú,1.0,parallel,18,6
owl,NN,pórumu,lang5,pórumugo,1.0,parallel,88,9
star,NN,félirina,lang5,kélirinàni,0.9,parallel,88,9
to look,VB,vérima,lang5,igérimàngimi,0.7826,parallel,88,9
hawk,NN,ħárum,lang5,tàħàrumushko,0.9091,parallel,88,9
to see,VB,vérima,lang5,àgérimàmi,0.8889,parallel,88,9
teacher,NN,zúragúra,lang5,dngúràgúràgo,0.7826,parallel,106,6
student,NN,dóruma,lang5,ngdórumàdórumàgo,0.9333,parallel,106,6
life,NN,múranu,lang5,umúrànu,1.0,parallel,106,6
to ensure,VB,sérimi,lang5,ingérimingingimi,0.6897,parallel,106,6
hummingbird,NN,píbi,lang5,píbili,1.0,parallel,106,6
classroom,NN,kórumu,lang5,kórumunu,1.0,parallel,106,6
gold,JJ,málalu,lang3,Mã̀làlú,1.0,parallel,78,7
hawk,NN,ħárum,lang3,tàħàrúmṹshko,0.9091,parallel,78,7
owl,NN,pórumu,lang3,pobórúmṹ,1.0,parallel,78,7
tree,NN,kóramudógoru,lang3,kóràmṹdógorúxóronṹnṹ,1.0,parallel,78,7
to find,VB,kélimi,lang3,ígélímĩ,1.0,parallel,78,7
to want,VB,vézimi,lang3,ívézímĩ́mĩ,1.0,parallel,78,7
crow,NN,ħòro,lang7,tòħòrùlú,0.7143,parallel,27,6
feather,NN,mìli,lang7,mĩ̀límĩ̀lí,1.0,parallel,27,6
rain,NN,shíynimi,lang7,shííynĩ́mĩ́gì,0.8571,parallel,27,6
clean,JJ,kázumulu,lang7,úgòngúmṹdòrúmṹmũ,0.7097,parallel,27,6
scholar,NN,zúradóruma,lang7,ngúúròdórúmõ̀ngò,0.56,parallel,27,6
person,NN,náruma,lang6,nãrumãnãrumãgo,0.9655,parallel,107,7
free,JJ,múranulu,lang6,mṹranũlu,1.0,parallel,107,7
and,CONJ,hére,lang6,hére,1.0,parallel,107,7
wisdom,NN,zárumu,lang4,dzàrúmṹ,0.9231,parallel,114,5
and,CONJ,hére,lang4,hérì,0.75,parallel,114,5
good,JJ,górumalu,lang4,ðgùrúmã̀lúghórúmṹ,0.9032,parallel,114,5
to give,VB,tórumu,lang4,údórúmṹzúbúmṹ,1.0,parallel,114,5
family,NN,núma,lang6,nṹmãgaru,1.0,parallel,88,5
should,MD,dézimi,lang6,þadézimĩ,0.8571,parallel,88,5
nuanced,JJ,shúyalu,lang5,shúyàlu,1.0,parallel,49,5
rhythm,NN,réna,lang5,rénàqgà,0.7273,parallel,49,5
despair,NN,górumano,lang5,nggórumàno,0.8889,parallel,49,5
although,SCONJ,kogono,lang6,Kogonõ,1.0,parallel,61,7
frame,NN,súzu,lang6,súzu,1.0,parallel,61,7
to be surprised,VB,vóruza,lang6,izamĩmĩ,1.0,parallel,61,7
story,NN,sórumu,lang6,sórumũ,1.0,parallel,61,7
heart,NN,múranuzómut,lang6,mṹranũzómũt,1.0,parallel,61,7
to judge,VB,témeni,lang6,tamõdórumãgo,0.96,parallel,33,6
actor,NN,tóralunáruma,lang6,tóralunãrumãgo,0.9655,parallel,33,6
energy,NN,zérimi,lang6,dzérimĩ,0.9231,parallel,33,6
extraordinary,JJ,zórazalu,lang6,dzórazalu,0.9412,parallel,33,6
to judge,VB,témeni,lang6,idémẽnĩmĩ,1.0,parallel,33,6
to distract,VB,lémarimi,lang2,ílémàrímímí,1.0,parallel,90,5
introduction,NN,vózumu,lang4,bvózúmṹgùùng,0.6667,parallel,15,4
attention,NN,tánuru,lang4,tànṹrú,1.0,parallel,15,4
to ensure,VB,sérimi,lang4,ízérímĩ́mĩ,1.0,parallel,15,4
epic,JJ,zarakálala,lang5,dngàràqgàlàlàqgà,0.6923,parallel,60,5
mountain,NN,zeħris,lang5,dngeħrih,0.5714,parallel,60,5
scene,NN,vérizima,lang5,tàgéringimàgo,0.6667,parallel,60,5
student,NN,dóruma,lang5,ngdórumàdórumàgo,0.9333,parallel,60,5
script,NN,tóraluládamóluru,lang2,tóràlúlàdàmólúrú,1.0,parallel,89,8
to critique,VB,támodórumanu,lang2,í-témìmí,0.875,parallel,89,8
speech,NN,tálimidérimi,lang2,llímídérímí,0.8696,parallel,89,8
life,NN,múranu,lang2,múúrànúlú,0.9412,parallel,89,8
true,JJ,xéliri,lang2,xélírí,1.0,parallel,89,8
to be surprised,VB,vóruza,lang2,hàmínì,0.6667,parallel,89,8
music,NN,límeri,lang2,Làmùrúdórúmàgùùg,0.7742,parallel,106,6
nuanced,JJ,shúyalu,lang2,shúúyàgà,0.7692,parallel,106,6
song,NN,mánaru,lang2,mànàrúgùùg,0.7368,parallel,106,6
fated,JJ,sélimili,lang2,hélímílí,0.875,parallel,106,6
joy,NN,fólumu,lang2,fólúmú,1.0,parallel,106,6
to end,VB,nérimi,lang4,nẽ́rímĩ,1.0,parallel,64,7
to sacrifice,VB,téramadérimi,lang4,ítéràmã̀dérímĩ́mĩ,1.0,parallel,64,7
nuanced,JJ,shúyalu,lang4,shúúyã,0.9091,parallel,64,7
idea,NN,vérami,lang4,tàgéràmĩ,0.7143,parallel,64,7
to ensure,VB,sérimi,lang4,ízérímĩ́lí,1.0,parallel,64,7
world,NN,mógo,lang5,mógogo,0.9231,parallel,87,6
heart,NN,múranuzómut,lang5,múrànungómut,0.8696,parallel,87,6
to hit,VB,tórumo,lang5,utórumomu,1.0,parallel,87,6
storm,NN,fázuma,lang3,fàzúmã̀go,1.0,parallel,2,7
final,JJ,nérimili,lang3,nẽ́rímĩ́lí,1.0,parallel,2,7
scene,NN,vérizima,lang3,tàvérízímã̀nĩ,0.9091,parallel,2,7
terror,NN,mózu,lang3,mṍzú,1.0,parallel,2,7
if,CONJ,héré,lang5,Héré,1.0,parallel,11,7
rhythm,NN,réna,lang5,rénàqgà,0.7273,parallel,11,7
to be surprised,VB,vóruza,lang5,hàmimi,0.8333,parallel,11,7
person,NN,náruma,lang5,nàrumànàrumàgo,0.9655,parallel,11,7
truth,NN,xélirini,lang5,xéliri,1.0,parallel,11,7
to find,VB,kélimi,lang5,iqgélimiqgeme,0.9167,parallel,11,7
gold,JJ,málalu,lang7,Mõ̀lòlú,0.6667,parallel,75,6
hawk,NN,ħárum,lang7,tòħòrúmṹshkòòg,0.8,parallel,75,6
shimmer,NN,glíza,lang7,ngglííngègèèd,0.5714,parallel,75,6
hunter,NN,dárumodóruma,lang7,ngdòrúmũ̀dórúmõ̀ngò,0.6207,parallel,75,6
target,NN,tórunu,lang7,tórúnṹlú,1.0,parallel,75,6
to distract,VB,lémarimi,lang7,ílémẽ̀rímĩ́mĩ,0.9091,parallel,75,6
nuanced,JJ,shúyalu,lang6,Shúyã,1.0,parallel,86,6
evolution,NN,vóramu,lang6,bvóramũ,0.9231,parallel,86,6
story,NN,sórumu,lang6,sórumũnãrumãgo,0.9655,parallel,86,6
story,NN,sórumu,lang6,sórumũ,1.0,parallel,86,6
extraordinary,JJ,zórazalu,lang6,dzórazalu,0.9412,parallel,86,6
to ensure,VB,sérimi,lang6,izérimĩmĩ,1.0,parallel,86,6
this,DT,kogo,lang2,kùgù,0.5,parallel,51,6
energy,NN,zérimi,lang2,ngérímíngàrímí,0.7692,parallel,51,6
to judge,VB,témeni,lang2,ídémìmí,0.8571,parallel,51,6
library,NN,pánuru,lang6,panũru,1.0,parallel,37,7
scene,NN,vérizima,lang6,bvérizimãge,0.9091,parallel,37,7
student,NN,dóruma,lang6,þadórumãnũ,0.8889,parallel,37,7
fated,JJ,sélimili,lang6,sélimĩli,1.0,parallel,37,7
wisdom,NN,zárumu,lang6,dzarumũ,0.9231,parallel,37,7
bright,"(ie, happy light)",férimili,lang5,kérimili,0.875,parallel,29,8
music,NN,límeri,lang5,límeri,1.0,parallel,29,8
nuanced,JJ,shúyalu,lang5,shúya,1.0,parallel,29,8
joy,NN,fólumu,lang5,fólumu,1.0,parallel,29,8
to want,VB,vézimi,lang5,igéngimimi,0.7368,parallel,29,8
actor,NN,tóralunáruma,lang3,Þàdràlúnã̀rúmã̀go,0.8966,parallel,25,5
rhythm,NN,réna,lang3,rénãã,0.8889,parallel,25,5
to distract,VB,lémarimi,lang3,ílémã̀rímĩ́nẽ,1.0,parallel,25,5
to end,VB,nérimi,lang6,Nẽ́rimĩge,0.9412,parallel,57,6
truth,NN,xélirini,lang6,xélirige,0.9412,parallel,57,6
many,DT,zéreni,lang6,dzérenĩ,0.9231,parallel,57,6
to judge,VB,témeni,lang6,tamõdórumã,1.0,parallel,57,6
spring,NN,vóruma,lang6,bvórumãnũ,0.9412,parallel,106,7
mountain,NN,zeħris,lang6,dzeħris,0.9231,parallel,106,7
path,NN,láka,lang6,lagã,1.0,parallel,106,7
to hike,VB,túra,lang6,udúramũ,1.0,parallel,106,7
student,NN,dóruma,lang4,Ðdórúmã̀qgììn,0.6667,parallel,32,7
joy,NN,fólumu,lang4,fólúmṹzérímĩ,1.0,parallel,32,7
kitchen,NN,fízani,lang4,fíízànĩ́nĩ,0.9412,parallel,32,7
nuanced,JJ,shúyalu,lang4,shúúyàlú,0.9333,parallel,32,7
snack,NN,sánomu,lang4,sànũ̀mṹ,0.8333,parallel,32,7
to cook,VB,fíza,lang4,ígíízàmĩ,0.8,parallel,32,7
to be surprised,VB,vóruza,lang4,ízàmĩ́mĩ,1.0,parallel,32,7
photograph,NN,múrazama,lang7,mṹṹròngòmõ̀nṹ,0.5455,parallel,32,5
light,JJ,milili,lang7,mĩ́líqèèd,0.8,parallel,32,5
if,CONJ,héré,lang6,Héré,1.0,parallel,91,8
sky,NN,féliri,lang6,kélirivérizi,0.9167,parallel,91,8
good,JJ,górumalu,lang6,þagórumãlu,0.8889,parallel,91,8
to be surprised,VB,vóruza,lang6,samĩmĩ,1.0,parallel,91,8
garden,NN,kóvunu,lang6,kóvunũnũ,1.0,parallel,91,8
to cultivate,VB,cultivate,lang6,ubúmãmũ,0.8571,parallel,91,8
athlete,NN,pálumudóru,lang6,Palumũdórumãgo,0.9655,parallel,26,7
storm,NN,fázuma,lang6,fazumã,1.0,parallel,26,7
to hike,VB,túra,lang6,túramũ,1.0,parallel,26,7
to finish,VB,dérimi,lang6,idérimĩdérimĩ,1.0,parallel,26,7
music,NN,límeri,lang6,Lamõrudórumãgo,0.9655,parallel,17,7
instrument,NN,pálumuma,lang6,palumĩmã,1.0,parallel,17,7
to play,VB,pálumu,lang6,apalumũmũ,1.0,parallel,17,7
fated,JJ,sélimili,lang6,sélimĩli,1.0,parallel,17,7
joy,NN,fólumu,lang6,fólumũ,1.0,parallel,17,7
game,NN,dózama,lang6,Þadózamã,0.8571,parallel,6,7
computer,NN,kómuru,lang6,kómũrugómũru,1.0,parallel,6,7
helpful,JJ,gérimilu,lang6,hólurulu,1.0,parallel,6,7
tool,NN,tógoru,lang6,tógoru,1.0,parallel,6,7
to be surprised,VB,vóruza,lang6,izamĩmĩ,1.0,parallel,6,7
to judge,VB,témeni,lang5,Tàmodórumàgo,0.96,parallel,90,7
new,JJ,nérili,lang5,nérili,1.0,parallel,90,7
game,NN,dózama,lang5,ngdóngàma,0.6667,parallel,90,7
nuanced,JJ,shúyalu,lang5,shúyàlu,1.0,parallel,90,7
rhythm,NN,réna,lang5,rénàqgà,0.7273,parallel,90,7
to judge,VB,témeni,lang5,idémenimi,1.0,parallel,90,7
telescope,NN,pélani,lang4,pélànĩ,1.0,parallel,39,8
to repair,VB,kázumu,lang4,ígàzúmṹdàrúmṹ,1.0,parallel,39,8
planet,NN,zánguru,lang4,dzàngúrú,0.9333,parallel,39,8
downward,RB,márugulu,lang3,mã̀rúgúlú,1.0,parallel,58,9
beach,NN,bárolu,lang3,þàbàrolúlú,0.8889,parallel,58,9
to walk,VB,búlumu,lang3,àbúúlúmṹ,0.9333,parallel,58,9
while,IN,hére,lang3,hére,1.0,parallel,58,9
beautiful,JJ,lúmuralu,lang3,lúúmṹrãã,0.8571,parallel,58,9
song,NN,mánaru,lang3,mã̀nã̀rú,1.0,parallel,58,9
to sing,"(ie, that which produces a song)",mánaruma,lang3,úmã̀nã̀rúmã̀mṹ,1.0,parallel,58,9
to want,VB,vézimi,lang3,ívézímĩ́mĩ,1.0,parallel,58,9
nuanced,JJ,shúyalu,lang7,Shúúyòlú,0.8,parallel,69,7
field,NN,xóronu,lang7,xórùnṹnṹ,0.875,parallel,69,7
many,DT,zéreni,lang7,ngérìnĩ,0.6154,parallel,69,7
important,JJ,zórumalu,lang7,ngórúmõ̀lú,0.7059,parallel,69,7
tool,NN,tógoru,lang7,tógùrú,0.8333,parallel,69,7
to need,VB,dézimi,lang7,ídéngímĩ́mĩ,0.8421,parallel,69,7
hunter,NN,dárumodóruma,lang3,Þàdàrúmõdrúmã̀go,0.8966,parallel,104,8
forest,NN,kóramudógorughóronu,lang3,kóràmṹdógorúghóronṹnṹ,1.0,parallel,104,8
joy,NN,fólumu,lang3,fólúmṹ,1.0,parallel,104,8
to find,VB,kélimi,lang3,ígélímĩ́mĩ,1.0,parallel,104,8
together,RB,tírimi,lang3,tíírímĩ,0.9231,parallel,104,8
to sing,"(ie, that which produces a song)",mánaruma,lang3,mã̀nã̀rúmã̀mṹ,1.0,parallel,104,8
although,SCONJ,kogono,lang4,Kùgùnũ,0.5,parallel,66,10
to be surprised,VB,vóruza,lang4,sàmĩ́mĩ,1.0,parallel,66,10
to travel,VB,trávimi,lang4,tràgímĩ,0.8571,parallel,66,10
to dream,VB,térami,lang4,téràmĩ,1.0,parallel,66,10
sister,NN,náziri,lang5,Nàngiriqge,0.7368,parallel,103,6
cherry,NN,sakúra,lang5,hàgúra,0.8333,parallel,103,6
photograph,NN,múrazama,lang5,múràngàma,0.8235,parallel,103,6
to share,VB,dérimi,lang5,idérimi,1.0,parallel,103,6
to want,VB,vézimi,lang5,igéngimimi,0.7368,parallel,103,6
game,NN,dózama,lang6,þadózamã,0.8571,parallel,27,6
evolution,NN,vóramu,lang6,bvóramũgo,0.8889,parallel,27,6
student,NN,dóruma,lang6,þadórumãdórumãgo,0.9333,parallel,27,6
to procrastinate,VB,lómamu,lang6,ulómãmũnõ,1.0,parallel,27,6
to ensure,VB,sérimi,lang6,izérimĩmĩ,1.0,parallel,27,6
instrument,NN,pálumuma,lang7,pòlúmṹmõ̀ngò,0.6316,parallel,76,8
to reach,VB,lóradárumu,lang7,úlóròdòrúmṹmṹ,0.8462,parallel,76,8
anger,NN,xòrona,lang7,xòrùnõ̀ngò,0.6667,parallel,76,8
scholar,NN,zúradóruma,lang2,ngúúràdórúmàgù,0.7692,parallel,21,5
rule,NN,sélima,lang2,hélímàqngà,0.625,parallel,21,5
to memorize,VB,zólumu,lang2,úngólúmú,0.8,parallel,21,5
star,NN,félirina,lang6,kélirinãge,0.8571,parallel,14,5
star,NN,félirina,lang6,falurunãdórumã,1.0,parallel,14,5
notebook,NN,nóduru,lang6,nṍduru-li,1.0,parallel,14,5
to distract,VB,lémarimi,lang6,i-lémãrimĩmĩ,1.0,parallel,14,5
if,CONJ,héré,lang5,Héré,1.0,parallel,1,8
food,NN,záluma,lang5,dngàluma,0.7143,parallel,1,8
good,JJ,górumalu,lang5,nggórumàlu,0.8889,parallel,1,8
to be surprised,VB,vóruza,lang5,hàmimi,0.8333,parallel,1,8
snacker,NN,sánumunáru,lang5,hànimunàrugo,0.88,parallel,1,8
joy,NN,fólumu,lang5,fólumu,1.0,parallel,1,8
to celebrate,VB,férimi,lang5,igérimiqgeme,0.8696,parallel,1,8
ancient,JJ,zúravórunulu,lang6,dzúravórunũ,0.9524,parallel,74,4
teacher,NN,zúragúra,lang6,dzúragúrago,0.9091,parallel,74,4
sword,NN,míraninérizibálara,lang6,mĩ́ranĩnẽ́rizibalarã,1.0,parallel,74,4
to carry,VB,lórumu,lang6,ulórumũmũ,1.0,parallel,74,4
if,CONJ,héré,lang7,Héré,1.0,parallel,35,8
ocean,NN,séliru,lang7,hélírú,0.8333,parallel,35,8
blue,JJ,félirili,lang7,kélírílí,0.875,parallel,35,8
to be surprised,VB,vóruza,lang7,hèmĩ́mĩ,0.6667,parallel,35,8
red,JJ,xáru,lang7,xòrú,0.75,parallel,35,8
hawk,NN,ħárum,lang7,tòħòrúm,0.6667,parallel,35,8
to fly,VB,lózumu,lang7,úlóngúmṹmṹ,0.8421,parallel,35,8
hungry,JJ,zálumavázumu,lang6,dzalumãvazumũ,0.96,parallel,45,6
quietly,RB,nebárimilimi,lang6,nẽbarimĩlimĩ,1.0,parallel,45,6
sweet,JJ,férimili,lang6,kérimĩli,0.875,parallel,45,6
bread,NN,bádu,lang6,þabadu,0.8,parallel,45,6
to bite,VB,zálami,lang6,izalamĩ,1.0,parallel,45,6
twelve,CARD,fúzu,lang6,Fúzu,1.0,parallel,98,6
student,NN,dóruma,lang6,þadórumãdórumãgo,0.9032,parallel,98,6
library,NN,pánuru,lang6,panũrunũ,1.0,parallel,98,6
world,NN,mógo,lang6,mãgedérenĩ,1.0,parallel,98,6
to wait,VB,nérimi,lang6,inẽ́rimĩmĩ,1.0,parallel,98,6
hospital,NN,múranuspára,lang5,Múrànuhpàràngúràdórumàgo,0.875,parallel,14,6
weak,JJ,zérimineli,lang5,dngérimineli,0.8182,parallel,14,6
animal,NN,báruna,lang5,ngbàruna,0.8571,parallel,14,6
cold,JJ,ħórumu,lang5,tàħórumu,0.8571,parallel,14,6
water,NN,túzuma,lang5,túnguma,0.7692,parallel,14,6
to drink,VB,nízimi,lang5,iníngimingingimi,0.6897,parallel,14,6
brave,JJ,mózunolu,lang5,Móngunolu,0.8235,parallel,52,6
hunter,NN,dárumodóruma,lang5,ngdàrumodórumàgo,0.9032,parallel,52,6
sharp,JJ,tórumalu,lang5,tórumàlu,1.0,parallel,52,6
to hit,VB,tórumo,lang5,tórumodógoru,1.0,parallel,52,6
to fear,VB,mózumu,lang5,umóngumunomu,0.8696,parallel,52,6
rich,JJ,málalununulu,lang3,Mã̀làlúnṹnṹlú,1.0,parallel,59,8
emperor,NNP,Máguzúrazóronara,lang3,mã̀gúzúúràzóronã̀ràgook,0.95,parallel,59,8
many,DT,zéreni,lang3,tàzérenĩ,0.8571,parallel,59,8
expensive,JJ,málalunulu,lang3,mã̀làlúnṹlú,1.0,parallel,59,8
poor,JJ,dólumununulu,lang3,þàdólúmṹnṹnṹlú,0.9231,parallel,59,8
to give,VB,tórumu,lang3,údrúmõzúbúmṹ,0.96,parallel,59,8
musician,NN,lámorudóru,lang4,Làmũ̀rúdórúgù,0.8333,parallel,50,6
time,NN,sólunu,lang4,sólúnṹzórúmṹ,1.0,parallel,50,6
world,NN,mógo,lang4,líínĩ̀nĩ́lí,0.8235,parallel,50,6
nuanced,JJ,shúyalu,lang4,shúúyàlú,0.9333,parallel,50,6
message,NN,tálimirézami,lang4,tàlímĩ́rézàmĩ,1.0,parallel,50,6
to write,NN,nárumu,lang4,únã̀rúmṹmṹ,1.0,parallel,50,6
sharp,JJ,tórumalu,lang5,Tórumàlu,1.0,parallel,35,7
fire,NN,xázunu,lang5,xàngunu,0.7692,parallel,35,7
light,JJ,milili,lang5,miliqge,0.8571,parallel,35,7
student,NN,dóruma,lang5,ngdóruma,0.8571,parallel,35,7
homework,NN,dézari,lang5,ngdéngàrili,0.7368,parallel,35,7
to distract,VB,lémarimi,lang5,ilémàrimimi,1.0,parallel,35,7
six,CARD,kóru,lang6,kóru,1.0,parallel,102,6
